playerID,awardID,awardID,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,pickoffs,ZR,missing_g_c,missing_g
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1947,1,PHA,AL,2B,1,NULL,NULL,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1948,1,PHA,AL,2B,3,NULL,NULL,13,6,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1949,1,PHA,AL,2B,77,NULL,NULL,191,196,7,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1950,1,CHA,AL,2B,121,NULL,NULL,340,344,18,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1951,1,CHA,AL,2B,147,NULL,NULL,413,449,17,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1952,1,CHA,AL,2B,151,NULL,NULL,406,433,13,111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1953,1,CHA,AL,2B,154,NULL,NULL,451,426,15,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1954,1,CHA,AL,2B,155,155,4119,400,392,9,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1955,1,CHA,AL,2B,154,154,4093,399,483,24,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1956,1,CHA,AL,2B,154,154,4140,478,396,12,124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
foxne01,"Gold Glove",MVP,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7,foxne01,1957,1,CHA,AL,2B,155,155,4178,453,453,13,141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
